,16 17 17,17 17 17,18 17 17,
23346.1,-1516.33,-32.3988,521.077,
23346.2,-1516.33,-32.3981,521.079,
23346.3,-1516.33,-32.3974,521.08,
23346.4,-1516.34,-32.3967,521.081,
23346.5,-1516.34,-32.3961,521.082,
23346.6,-1516.34,-32.3954,521.083,
23346.7,-1516.35,-32.3948,521.084,
23346.8,-1516.35,-32.3942,521.085,
23346.9,-1516.35,-32.3935,521.086,
23347,-1516.36,-32.3929,521.088,
23347.1,-1516.36,-32.3923,521.089,
23347.2,-1516.36,-32.3917,521.09,
23347.3,-1516.36,-32.3911,521.091,
23347.4,-1516.37,-32.3906,521.092,
23347.5,-1516.37,-32.39,521.093,
23347.6,-1516.37,-32.3894,521.093,
23347.7,-1516.37,-32.3889,521.094,
23347.8,-1516.38,-32.3884,521.095,
23347.9,-1516.38,-32.3878,521.096,
23348,-1516.38,-32.3873,521.097,
23348.1,-1516.38,-32.3868,521.098,
23348.2,-1516.39,-32.3863,521.099,
23348.3,-1516.39,-32.3858,521.1,
23348.4,-1516.39,-32.3853,521.1,
23348.5,-1516.39,-32.3848,521.101,
23348.6,-1516.39,-32.3844,521.102,
23348.7,-1516.4,-32.3839,521.103,
23348.8,-1516.4,-32.3834,521.104,
23348.9,-1516.4,-32.383,521.104,
23349,-1516.4,-32.3825,521.105,
23349.1,-1516.4,-32.3821,521.106,
23349.2,-1516.41,-32.3817,521.107,
23349.3,-1516.41,-32.3813,521.107,
23349.4,-1516.41,-32.3808,521.108,
23349.5,-1516.41,-32.3804,521.109,
23349.6,-1516.41,-32.38,521.109,
23349.7,-1516.42,-32.3796,521.11,
23349.8,-1516.42,-32.3792,521.11,
23349.9,-1516.42,-32.3789,521.111,
23350,-1516.42,-32.3785,521.112,
23350.1,-1463.15,-32.3781,497.878,
23350.2,-1413.57,-32.4547,476.258,
23350.3,-1367.44,-32.5973,456.139,
23350.4,-1324.51,-32.7963,437.418,
23350.5,-1284.56,-33.0433,419.997,
23350.6,-1247.38,-33.3306,403.787,
23350.7,-1212.78,-33.6514,388.703,
23350.8,-1180.59,-33.9997,374.668,
23350.9,-1150.62,-34.3702,361.608,
23351,-1122.74,-34.7581,349.456,
23351.1,-1096.79,-35.1592,338.149,
23351.2,-1072.64,-35.5697,327.628,
23351.3,-1050.16,-35.9866,317.839,
23351.4,-1029.25,-36.4068,308.73,
23351.5,-1009.78,-36.828,300.256,
23351.6,-991.666,-37.248,292.371,
23351.7,-974.806,-37.6649,285.034,
23351.8,-959.114,-38.0771,278.208,
23351.9,-944.51,-38.4833,271.857,
23352,-930.918,-38.8824,265.948,
23352.1,-918.268,-39.2734,260.451,
23352.2,-906.494,-39.6555,255.336,
23352.3,-895.536,-40.028,250.578,
23352.4,-885.337,-40.3904,246.151,
23352.5,-875.845,-40.7425,242.032,
23352.6,-867.009,-41.0837,238.2,
23352.7,-858.786,-41.4141,234.635,
23352.8,-851.131,-41.7334,231.319,
23352.9,-844.007,-42.0416,228.233,
23353,-837.375,-42.3386,225.363,
23353.1,-831.203,-42.6247,222.693,
23353.2,-825.457,-42.8998,220.209,
23353.3,-820.109,-43.1641,217.898,
23353.4,-815.13,-43.4179,215.748,
23353.5,-810.496,-43.6612,213.748,
23353.6,-806.182,-43.8943,211.888,
23353.7,-802.166,-44.1175,210.158,
23353.8,-798.428,-44.3311,208.548,
23353.9,-794.947,-44.5352,207.05,
23354,-791.707,-44.7303,205.658,
23354.1,-788.691,-44.9165,204.362,
23354.2,-785.883,-45.0941,203.157,
23354.3,-783.269,-45.2635,202.036,
23354.4,-780.835,-45.425,200.993,
23354.5,-778.569,-45.5787,200.023,
23354.6,-776.459,-45.7252,199.121,
23354.7,-774.495,-45.8645,198.281,
23354.8,-772.665,-45.997,197.501,
23354.9,-770.962,-46.123,196.775,
23355,-769.376,-46.2427,196.1,
23355.1,-767.9,-46.3565,195.472,
23355.2,-766.524,-46.4645,194.887,
23355.3,-765.244,-46.567,194.344,
23355.4,-764.051,-46.6643,193.839,
23355.5,-762.94,-46.7566,193.369,
23355.6,-761.906,-46.8441,192.932,
23355.7,-760.942,-46.9271,192.525,
23355.8,-760.044,-47.0057,192.147,
23355.9,-759.209,-47.0802,191.795,
23356,-758.43,-47.1507,191.468,
23356.1,-757.704,-47.2175,191.164,
23356.2,-757.029,-47.2808,190.881,
23356.3,-756.399,-47.3406,190.618,
23356.4,-755.812,-47.3972,190.374,
23356.5,-755.266,-47.4508,190.146,
23356.6,-754.757,-47.5015,189.935,
23356.7,-754.282,-47.5494,189.738,
23356.8,-753.84,-47.5946,189.555,
23356.9,-753.427,-47.6374,189.385,
23357,-753.043,-47.6779,189.227,
23357.1,-752.685,-47.7161,189.079,
23357.2,-752.351,-47.7522,188.943,
23357.3,-752.04,-47.7863,188.815,
23357.4,-751.75,-47.8185,188.697,
23357.5,-751.479,-47.8489,188.587,
23357.6,-751.227,-47.8776,188.485,
23357.7,-750.991,-47.9047,188.39,
23357.8,-750.772,-47.9302,188.301,
23357.9,-750.567,-47.9544,188.219,
23358,-750.376,-47.9771,188.143,
23358.1,-750.198,-47.9986,188.072,
23358.2,-750.031,-48.0189,188.005,
23358.3,-749.876,-48.038,187.944,
23358.4,-749.731,-48.056,187.887,
23358.5,-749.596,-48.073,187.834,
23358.6,-749.469,-48.089,187.784,
23358.7,-749.351,-48.1041,187.738,
23358.8,-749.241,-48.1183,187.696,
23358.9,-749.138,-48.1318,187.656,
23359,-749.042,-48.1444,187.619,
23359.1,-748.952,-48.1563,187.585,
23359.2,-748.868,-48.1676,187.553,
23359.3,-748.789,-48.1782,187.523,
23359.4,-748.716,-48.1881,187.496,
23359.5,-748.647,-48.1975,187.47,
23359.6,-748.583,-48.2064,187.446,
23359.7,-748.523,-48.2148,187.424,
23359.8,-748.466,-48.2226,187.404,
23359.9,-748.413,-48.23,187.384,
23360,-748.364,-48.237,187.367,
23360.1,-748.318,-48.2436,187.35,
23360.2,-748.274,-48.2498,187.335,
23360.3,-748.234,-48.2556,187.32,
23360.4,-748.195,-48.2611,187.307,
23360.5,-748.16,-48.2663,187.295,
23360.6,-748.126,-48.2712,187.283,
23360.7,-748.094,-48.2758,187.273,
23360.8,-748.065,-48.2801,187.263,
23360.9,-748.037,-48.2842,187.254,
23361,-748.011,-48.2881,187.245,
23361.1,-747.986,-48.2917,187.237,
23361.2,-747.963,-48.2951,187.23,
23361.3,-747.941,-48.2983,187.223,
23361.4,-747.92,-48.3014,187.216,
23361.5,-747.901,-48.3042,187.211,
23361.6,-747.883,-48.3069,187.205,
23361.7,-747.866,-48.3094,187.2,
23361.8,-747.849,-48.3118,187.195,
23361.9,-747.834,-48.3141,187.191,
23362,-747.82,-48.3162,187.187,
23362.1,-747.806,-48.3182,187.183,
23362.2,-747.793,-48.3201,187.179,
23362.3,-747.781,-48.3219,187.176,
23362.4,-747.769,-48.3236,187.173,
23362.5,-747.758,-48.3252,187.17,
23362.6,-747.748,-48.3267,187.167,
23362.7,-747.738,-48.3281,187.165,
23362.8,-747.728,-48.3294,187.163,
23362.9,-747.719,-48.3307,187.16,
23363,-747.711,-48.3319,187.158,
23363.1,-747.703,-48.333,187.157,
23363.2,-747.695,-48.3341,187.155,
23363.3,-747.688,-48.3351,187.153,
23363.4,-747.681,-48.336,187.152,
23363.5,-747.674,-48.3369,187.151,
23363.6,-747.668,-48.3378,187.149,
23363.7,-747.661,-48.3386,187.148,
23363.8,-747.656,-48.3393,187.147,
23363.9,-747.65,-48.3401,187.146,
23364,-747.645,-48.3407,187.145,
23364.1,-747.64,-48.3414,187.144,
23364.2,-747.635,-48.342,187.143,
23364.3,-747.63,-48.3426,187.143,
23364.4,-747.625,-48.3431,187.142,
23364.5,-747.621,-48.3436,187.141,
23364.6,-747.617,-48.3441,187.141,
23364.7,-747.613,-48.3446,187.14,
23364.8,-747.609,-48.3451,187.14,
