,16 17 17,17 17 17,18 17 17,
55.6,-96.1078,-15.6243,-1598.96,
55.7,-96.1492,-14.7461,-1605.71,
55.8,-96.1899,-13.8856,-1612.27,
55.9,-96.2299,-13.0422,-1618.67,
56,-96.2694,-12.2155,-1624.89,
56.1,-96.3082,-11.4051,-1630.96,
56.2,-96.3464,-10.6106,-1636.87,
56.3,-96.3839,-9.8315,-1642.63,
56.4,-96.4209,-9.06743,-1648.25,
56.5,-96.4572,-8.31801,-1653.74,
56.6,-96.4929,-7.58284,-1659.09,
56.7,-96.528,-6.86155,-1664.31,
56.8,-96.5625,-6.15379,-1669.41,
56.9,-96.5964,-5.45921,-1674.4,
57,-96.6297,-4.77746,-1679.27,
57.1,-96.6625,-4.10822,-1684.03,
57.2,-96.6947,-3.45117,-1688.68,
57.3,-96.7263,-2.80601,-1693.23,
57.4,-96.7574,-2.17243,-1697.67,
57.5,-96.7879,-1.55015,-1702.03,
57.6,-96.8179,-0.938896,-1706.28,
57.7,-96.8474,-0.338389,-1710.45,
57.8,-96.8764,0.251626,-1714.53,
57.9,-96.905,0.831403,-1718.52,
58,-96.9334,1.40118,-1722.43,
58.1,-96.9616,1.9612,-1726.26,
58.2,-96.9897,2.51169,-1730.01,
58.3,-97.0176,3.05287,-1733.69,
58.4,-97.0452,3.58495,-1737.29,
58.5,-97.0727,4.10814,-1740.81,
58.6,-97.1,4.62264,-1744.27,
58.7,-97.1272,5.12864,-1747.66,
58.8,-97.1541,5.62632,-1750.98,
58.9,-97.1808,6.11587,-1754.24,
59,-97.2074,6.59746,-1757.43,
59.1,-97.2337,7.07126,-1760.56,
59.2,-97.2599,7.53744,-1763.63,
59.3,-97.2858,7.99614,-1766.64,
59.4,-97.3116,8.44753,-1769.6,
59.5,-97.3372,8.89175,-1772.49,
59.6,-97.3626,9.32895,-1775.33,
59.7,-97.3878,9.75926,-1778.12,
59.8,-97.4129,10.1828,-1780.86,
59.9,-97.4377,10.5998,-1783.54,
60,-97.4624,11.0102,-1786.18,
60.1,-97.4868,11.4143,-1788.76,
60.2,-97.5111,11.8121,-1791.3,
60.3,-97.5352,12.2038,-1793.79,
60.4,-97.5591,12.5895,-1796.23,
60.5,-97.5828,12.9693,-1798.63,
60.6,-97.6063,13.3433,-1800.99,
60.7,-97.6297,13.7115,-1803.3,
60.8,-97.6529,14.0742,-1805.57,
60.9,-97.6759,14.4314,-1807.8,
61,-97.6987,14.7832,-1809.98,
61.1,-97.7213,15.1297,-1812.13,
61.2,-97.7437,15.4709,-1814.24,
61.3,-97.766,15.807,-1816.31,
61.4,-97.7881,16.1381,-1818.34,
61.5,-97.81,16.4642,-1820.34,
61.6,-97.8317,16.7855,-1822.3,
61.7,-97.8532,17.1019,-1824.22,
61.8,-97.8746,17.4137,-1826.11,
61.9,-97.8958,17.7208,-1827.97,
